都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2049123,1656885,1723,60,8258,20,52,8671,40,2921,8792,647310,29468,20,31,22232,26173,4000,83,491,140,526578,22,2541,99,7946,4958,32,41,27588,10881,206805,21,866,282,2188,40704,2809,61931,51,57,57946,62,506,663,383,288,117,272,472,99,582,8829,5266,216,526,67,1040,2790,230,204,8,33,78,196,1,14,146,33,909,358,1021,411,2191,7409,1,1931,1686,963,37,78,14741,1452,1001,43,54,39,66,215,30,24,145,12,8,11289,156,13,29,357,6,1,31,281,2,1,42,7,326,30,21,1784,267,28,4,107,525,22,40,85,117,13,393,56,56,39,19,2429,6,40,355,44,5,205,4,5,335,28,318,430,534,1461,28,70,100,29,5,61948,22,13,10,9015,147,209,408,10,109,101,20,137,400,1916,69,45,8,6,1,76,49218,2,6,248093,2707,5302,185694,622,2258,212,8,1866,48995,6,99,324,12360,8740,177,6,11,38,3084,3,52,32,36,120,5,2,54,602
01,22783,18852,69,0,36,0,1,109,1,15,52,10098,347,0,0,141,199,19,0,7,6,5103,0,14,2,150,124,0,2,331,118,1249,0,2,7,28,297,13,311,0,1,1473,0,14,11,5,4,5,4,5,1,23,117,99,3,13,6,52,29,5,14,0,1,1,9,0,1,0,0,10,8,48,6,20,505,0,26,18,24,0,0,332,27,15,1,2,2,1,4,1,1,0,0,0,277,0,0,0,3,1,0,0,1,0,0,1,0,13,6,0,12,7,0,1,7,11,0,1,12,1,1,5,3,2,0,0,17,0,2,10,0,0,4,0,0,8,1,1,15,21,99,2,7,2,0,0,1377,1,0,0,270,3,9,1,0,3,3,0,4,9,21,1,2,0,0,0,1,1049,0,0,227,11,9,128,13,12,1,2,11,34,0,2,4,571,400,1,0,0,0,163,0,1,0,1,1,0,1,3,6
02,3947,3369,4,0,2,0,0,7,0,1,1,1354,31,0,0,26,102,2,0,0,0,976,0,2,0,39,6,0,0,37,43,525,0,0,0,3,91,2,115,0,0,131,0,0,0,0,0,0,0,1,0,0,18,10,0,4,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,25,27,0,7,1,0,0,0,26,2,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,365,0,0,0,31,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,326,0,0,29,1,0,19,2,2,0,0,0,5,0,0,0,32,16,0,0,0,0,15,0,0,0,1,0,0,0,0,1
03,5460,4960,28,0,1,0,0,13,0,0,2,2393,60,0,0,15,146,2,0,0,0,1034,0,7,0,27,25,0,0,26,35,923,0,0,0,4,53,0,166,0,0,121,0,0,2,0,0,0,0,1,0,0,8,12,0,0,2,4,4,0,0,0,0,0,1,0,0,0,0,2,0,4,0,9,16,0,1,0,5,0,1,45,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,0,0,20,0,0,0,0,0,228,1,0,0,32,0,0,0,0,0,0,0,1,4,7,0,0,0,0,0,0,183,0,0,62,2,0,47,1,4,1,0,3,4,0,0,0,49,30,1,0,0,0,15,0,0,0,1,2,0,0,0,1
04,14508,12726,10,0,9,1,1,131,1,11,48,5397,210,0,0,143,335,49,0,3,4,3990,1,2,0,82,87,2,1,196,152,995,0,2,1,14,247,42,550,8,1,545,1,2,4,3,4,1,10,4,5,17,67,47,1,6,2,12,15,3,0,0,0,1,2,0,0,0,0,4,0,18,0,21,100,0,5,27,4,4,0,119,11,12,1,1,0,0,9,1,0,0,0,1,112,1,0,0,7,0,0,2,8,0,0,1,0,4,1,0,12,1,0,0,1,6,0,6,3,1,0,3,0,0,1,0,8,0,0,2,0,0,1,0,0,1,0,3,1,15,18,0,5,0,0,0,771,1,1,0,127,2,7,2,0,1,1,1,2,17,28,3,1,1,0,0,2,574,0,0,240,6,11,154,6,12,3,0,2,39,0,0,7,104,75,0,1,0,0,23,0,0,0,3,1,0,0,1,10
05,3702,3222,4,0,3,0,1,4,2,0,2,1584,29,0,0,12,33,2,0,3,0,688,0,2,0,52,21,0,0,44,22,598,0,0,0,4,64,0,48,0,0,159,0,0,0,1,0,1,1,3,0,4,12,13,1,0,0,5,2,0,1,0,0,1,3,0,1,0,2,3,14,3,3,8,19,0,5,2,1,0,0,42,5,0,0,0,0,0,3,0,0,0,0,0,30,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,1,0,0,210,0,0,0,27,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,177,0,0,22,0,0,13,2,2,0,0,0,4,0,1,0,58,22,8,0,0,0,17,0,5,0,0,6,0,0,0,1
06,6236,5819,0,0,15,0,0,9,4,3,7,2713,60,0,0,16,64,2,1,2,0,1838,0,4,0,58,7,0,0,36,14,672,0,0,0,9,81,5,197,0,2,104,0,1,1,0,0,0,0,1,2,0,6,7,2,6,0,11,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,5,12,0,1,1,0,0,0,39,2,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,2,0,1,0,0,0,162,0,0,0,29,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,129,0,0,99,7,1,76,1,0,0,0,2,11,0,0,1,33,17,0,0,0,0,15,0,0,0,0,0,0,0,1,1
07,9489,8508,11,0,33,0,0,17,1,5,25,3578,71,0,0,66,72,6,0,2,0,1771,0,9,1,32,44,0,1,113,70,2122,0,1,2,5,251,1,198,0,0,226,0,0,0,2,1,0,1,1,1,3,9,14,0,2,2,9,3,1,0,0,0,0,0,0,0,1,0,2,1,7,0,6,46,0,3,0,3,0,0,88,15,4,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,6,0,3,6,0,0,0,0,0,372,1,0,0,81,1,1,0,0,2,0,0,0,8,9,0,0,0,0,0,2,267,0,0,250,8,4,189,1,4,2,0,7,35,0,0,0,91,58,5,0,0,0,25,0,0,0,0,3,0,0,0,2
08,50921,39952,106,0,95,0,2,324,0,97,870,13839,907,1,3,667,2004,188,13,11,6,5214,1,239,5,185,123,0,1,403,824,8052,0,5,9,31,4259,49,1417,0,2,1014,1,4,10,5,14,2,7,5,4,6,91,79,7,28,0,17,32,8,24,0,0,4,7,0,2,4,0,17,3,31,9,34,173,0,29,6,10,2,19,216,33,26,2,3,3,9,12,1,1,13,0,1,382,2,0,0,18,0,0,0,1,0,0,3,0,16,3,0,31,7,2,0,2,21,1,1,4,3,0,6,5,0,2,2,66,1,3,4,2,0,9,0,0,3,0,35,41,14,56,0,6,10,2,0,949,0,0,0,158,3,7,11,0,0,6,1,3,5,60,7,0,0,0,0,1,686,0,1,8451,55,95,6522,23,61,2,0,18,1666,0,1,8,163,103,9,0,0,1,35,0,6,0,2,5,0,0,2,10
09,30496,20458,25,0,138,0,0,248,0,15,377,7317,769,0,0,373,409,131,2,4,0,2834,0,26,1,136,78,0,0,572,479,3750,0,15,7,10,1652,9,1081,0,0,388,2,17,4,0,1,1,2,5,7,0,30,31,0,5,0,12,15,5,0,0,0,0,7,0,0,1,0,8,0,5,1,42,51,0,5,7,1,0,0,114,4,4,1,0,0,0,0,0,0,0,0,0,103,1,0,0,12,0,0,0,12,0,0,0,0,3,0,1,7,7,0,0,0,6,0,0,4,1,2,4,3,0,0,1,19,0,0,2,1,0,0,0,0,3,1,1,3,4,3,0,1,1,0,0,569,0,1,0,83,2,2,3,0,1,3,0,4,2,21,0,0,0,0,0,1,446,0,0,8890,112,334,4901,5,39,2,0,75,3412,0,0,10,79,57,2,0,0,0,20,0,0,0,0,0,0,0,0,9
10,42110,23196,33,0,218,0,1,407,0,24,230,7629,218,0,0,213,706,180,2,3,1,2839,0,11,4,118,71,0,0,567,639,5801,0,0,0,18,833,110,2319,1,0,419,1,4,1,1,1,0,3,2,0,1,40,22,1,3,0,16,11,1,0,0,0,0,1,0,0,2,0,1,0,12,1,78,62,0,13,1,2,0,2,106,10,13,0,3,0,3,1,0,0,0,0,0,99,4,2,0,11,0,0,0,4,0,0,0,0,3,0,0,6,12,0,0,1,9,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,3,0,0,2,0,5,3,5,8,0,0,0,0,0,589,0,0,0,72,4,0,12,0,2,1,0,1,5,24,1,1,0,0,0,1,465,0,0,17653,191,385,12104,38,51,3,0,176,4693,0,6,6,141,78,0,0,0,0,52,1,1,0,0,9,0,0,0,13
11,120809,101557,82,1,412,0,6,1188,1,111,518,48062,1740,0,0,956,1207,466,4,21,13,17767,1,55,3,492,411,0,2,1406,1836,16403,0,79,12,89,2629,470,5110,3,1,2307,0,18,15,9,19,1,10,10,3,8,241,183,12,27,0,27,85,10,9,0,1,3,8,0,0,13,1,18,10,73,19,106,403,0,59,48,20,1,3,628,74,102,2,4,1,7,6,3,1,4,2,0,1347,11,0,0,85,1,0,0,43,0,0,5,1,37,5,0,326,47,10,1,4,29,1,1,0,22,0,24,5,3,0,1,442,0,0,54,3,0,18,0,0,8,6,30,36,13,60,0,4,3,8,0,2366,1,0,3,351,8,10,31,0,8,4,0,10,15,91,2,5,0,1,0,3,1823,0,0,12771,172,165,8103,55,174,13,0,209,3861,0,7,12,416,260,8,0,1,4,122,0,1,4,1,8,0,0,7,45
12,107214,92911,603,5,346,0,2,621,1,61,1318,40877,1917,1,0,1238,1252,425,6,12,9,16614,1,54,5,566,663,1,1,1806,769,15739,0,3,21,115,4880,51,2922,4,2,2473,8,24,16,15,19,3,12,12,3,35,224,151,5,31,2,37,67,15,13,2,1,4,16,0,0,10,0,28,13,34,28,91,463,0,82,50,41,1,0,728,87,80,0,1,2,4,8,0,1,6,0,0,903,5,0,0,32,0,0,1,19,1,0,0,0,13,1,1,233,12,0,0,6,47,7,8,3,4,0,14,2,4,1,1,255,0,1,14,3,1,37,0,0,35,4,9,61,21,38,0,1,5,3,0,2785,0,0,1,415,12,9,17,1,10,6,1,18,35,230,4,2,1,0,0,2,2020,0,1,7521,117,175,3916,81,242,5,0,85,2880,0,6,14,596,387,25,0,0,0,160,0,2,3,1,8,0,0,10,25
13,400828,345459,118,26,4881,6,7,2626,15,256,1063,153690,9948,8,0,8559,2689,1059,25,212,26,100610,12,205,40,2061,1244,2,10,9859,1081,28416,3,377,45,925,7142,600,7588,14,11,22580,8,222,279,145,88,42,103,219,41,211,4836,2185,69,157,29,372,1296,45,55,2,16,26,69,1,7,35,10,356,124,303,143,526,2055,0,717,935,390,7,9,5553,359,360,18,11,9,19,51,9,7,47,3,1,2560,47,4,3,82,2,0,3,59,0,0,14,5,112,4,4,494,111,3,1,37,105,8,5,15,38,3,131,6,11,12,3,513,1,11,85,22,4,35,0,3,49,6,102,70,111,185,8,12,17,2,2,19903,3,1,2,2803,27,80,44,6,25,24,4,25,55,426,11,15,1,3,0,10,16337,0,1,6390,253,130,3222,113,515,33,0,79,1951,1,17,76,3833,2907,43,0,3,5,829,1,4,5,9,19,1,0,7,103
14,163906,131387,21,17,408,0,10,748,0,1575,1375,53132,2959,1,12,3545,1665,522,7,33,8,31047,2,1223,6,981,526,11,3,1585,942,18092,3,178,20,236,3623,167,6697,2,5,5768,2,57,61,35,22,11,31,36,8,43,702,763,30,53,4,97,231,14,20,1,5,6,17,0,0,19,1,109,31,121,43,199,716,1,189,170,117,10,5,1507,166,74,2,7,4,3,13,4,3,5,0,0,1496,25,0,0,28,0,0,8,32,1,0,6,0,25,0,4,320,24,2,0,20,46,1,3,12,21,0,46,9,11,7,1,436,0,5,96,1,0,7,0,0,102,3,31,28,37,71,6,8,12,1,0,6164,2,3,1,772,34,18,163,2,13,9,2,10,35,194,12,4,0,2,1,6,4881,0,0,17991,706,836,8999,43,281,50,1,242,6782,0,8,43,999,762,15,0,0,9,202,0,2,3,1,2,0,0,3,101
15,13206,11625,35,0,44,0,1,67,1,12,166,5232,155,0,3,57,274,17,0,2,2,2100,0,17,0,141,94,0,0,122,259,2059,0,1,5,18,388,2,346,2,3,540,4,2,4,4,0,0,2,1,0,2,35,34,0,1,0,4,23,17,5,0,0,0,0,0,0,0,0,6,1,4,1,19,216,0,13,3,6,1,9,86,11,21,0,2,0,1,1,0,0,1,0,0,66,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,14,0,0,0,2,5,0,0,0,1,2,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,1,0,1,7,12,0,0,3,0,0,468,0,0,0,69,5,2,1,0,1,2,0,1,7,38,1,1,0,0,0,1,339,0,0,399,8,4,298,1,5,1,0,1,73,0,0,8,102,69,1,0,0,2,29,0,1,0,0,0,0,0,0,6
16,13426,10093,1,0,6,0,0,77,0,8,11,5489,77,0,1,113,149,7,0,2,0,1221,0,4,0,94,18,0,0,54,435,1726,0,0,2,4,107,1,486,0,0,573,6,1,0,3,3,0,6,0,1,3,11,6,0,0,0,4,8,1,2,0,0,5,0,0,0,3,0,1,2,0,0,33,409,0,4,0,1,0,2,39,14,2,0,0,0,0,2,0,0,1,0,0,41,0,0,0,5,0,0,0,10,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,13,0,0,0,0,0,212,0,0,0,22,2,0,4,0,0,0,0,0,6,8,6,0,0,0,0,2,162,0,0,2470,6,20,2278,1,2,0,0,122,41,0,0,0,37,27,1,0,0,0,7,0,1,0,0,0,0,0,1,0
17,10779,9005,5,0,23,0,0,58,0,2,7,4890,96,0,0,95,370,16,0,1,1,1857,0,4,3,56,30,0,1,43,29,608,0,4,0,8,191,4,597,6,0,305,0,4,8,0,4,0,5,4,0,5,29,30,1,6,0,9,13,1,0,0,1,0,1,0,0,0,0,2,1,5,0,18,61,0,9,2,5,0,0,67,6,1,0,1,0,0,5,0,0,1,0,0,86,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,1,1,0,5,0,7,0,0,1,0,0,0,0,0,0,0,4,2,5,48,0,0,1,0,0,318,0,0,0,42,0,1,1,0,0,0,0,1,1,18,1,0,0,0,0,1,252,0,0,999,7,5,896,1,6,0,0,6,73,0,1,4,66,42,1,0,0,0,19,0,0,0,1,3,0,0,0,0
18,12019,8925,9,0,4,0,0,20,0,3,7,4107,32,0,1,6,112,5,1,1,0,2951,0,0,0,58,16,0,1,22,8,1163,0,0,0,3,200,2,193,0,0,151,0,0,0,0,1,0,1,0,0,2,9,10,1,2,0,5,2,0,1,0,0,1,0,0,0,1,0,1,2,1,2,5,63,0,3,0,1,0,0,24,8,3,0,0,0,0,2,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,14,2,0,0,0,0,0,191,1,0,0,31,0,1,0,0,1,0,0,0,3,7,0,1,0,0,0,2,144,0,0,2713,0,0,2628,1,3,0,0,3,78,0,0,0,12,8,0,0,0,0,4,0,0,0,0,0,0,0,0,5
19,14176,9772,2,0,7,0,0,27,1,2,63,3630,343,1,0,292,159,52,0,0,0,2171,0,17,0,65,41,0,0,69,21,1813,0,0,0,7,638,3,348,0,0,179,1,1,2,0,0,0,2,1,0,1,26,14,1,0,0,9,6,0,1,0,0,0,0,0,0,0,0,4,0,2,5,5,18,0,2,4,4,0,0,68,2,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,311,0,0,0,48,1,1,0,0,1,1,0,0,4,4,0,0,0,0,0,4,247,0,0,3840,11,58,2886,6,21,0,0,23,829,1,0,5,44,27,1,0,0,1,13,0,0,0,0,2,0,0,0,0
20,32706,24516,0,0,24,0,1,58,0,36,170,11266,432,0,0,50,736,48,0,2,1,4255,0,6,0,92,66,0,0,201,157,4108,1,2,2,22,2097,3,680,0,0,430,0,8,7,1,0,0,3,2,0,5,48,44,1,3,0,9,13,4,0,0,0,0,1,0,1,0,0,20,1,3,4,10,36,0,7,13,5,0,0,168,4,2,0,0,0,1,4,2,0,0,0,0,66,0,0,1,1,0,0,1,2,0,0,1,0,1,0,0,6,0,1,0,0,5,0,0,2,0,0,5,0,0,0,0,11,0,0,5,0,0,0,1,0,4,0,5,3,7,1,0,0,3,0,0,714,1,0,0,127,0,3,8,0,1,0,1,1,3,31,1,0,0,0,0,0,537,0,0,6765,35,143,5923,10,18,5,0,75,550,0,1,5,208,162,1,0,0,0,44,0,0,1,0,0,0,0,0,7
21,44998,32011,18,0,20,0,0,86,0,41,132,14542,98,0,4,72,314,22,0,11,1,5113,0,7,0,81,26,0,1,351,230,9124,0,0,1,5,336,48,1327,0,0,400,0,2,0,4,1,1,3,1,0,1,27,22,0,0,0,5,15,2,2,0,0,0,1,0,0,4,0,5,0,0,2,77,73,0,18,12,6,0,0,88,23,0,0,0,2,0,0,0,0,3,0,0,117,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,3,0,0,2,0,2,4,1,63,0,1,0,2,0,460,0,0,0,95,1,1,10,0,0,3,0,1,1,24,0,0,0,0,0,1,323,0,0,11895,26,47,10925,6,8,4,0,21,854,0,0,4,114,82,0,0,0,0,28,0,0,0,1,2,0,0,1,1
